X,Y
32.502345269453,31.7070058465699
53.426804033275,68.7775959816389
61.5303580256364,62.5623822979458
47.4756396347861,71.5466322335678
59.8132078695123,87.2309251336874
55.1421884139438,78.2115182707992
52.211796692214,79.6419730498087
39.2995666943171,59.1714893218695
48.1050416917683,75.3312422970631
52.5500144427338,71.3008798868504
45.4197301449738,55.1656771459591
54.3516348812289,82.4788467574979
44.1640494967734,62.0089232457258
58.1684707168578,75.392870425995
56.7272080570966,81.4361921588786
48.9558885660937,60.723602440674
44.6871962314809,82.8925037314537
60.2973268513335,97.3798968621661
45.6186437729558,48.8471533173551
38.8168175374456,56.8772131862685
66.1898166067526,83.8785646646028
65.4160517451341,118.591217302522
47.4812086078679,57.251819462269
41.575642617487,51.3917440798323
51.8451869056394,75.3806516653124
59.3708220110895,74.7655640321514
57.3100034383481,95.4550529225747
63.6155612514533,95.2293660175553
46.737619407977,79.0524061695656
50.5567601485478,83.4320714213237
52.2239960855531,63.3587903174979
35.5678300477466,41.4128853037006
42.4364769440556,76.6173412800741
58.1645401101929,96.7695664261082
57.5044476153418,74.0841301166025
45.44053072532,66.5881444142286
61.8962226802913,77.768482417793
33.093831736164,50.7195889123121
36.4360095113869,62.1245708180718
37.6756548608507,60.8102466499022
44.5556083832754,52.6829833663878
43.3182826318657,58.5698247176929
50.073145632289,82.9059814850705
43.8706126452184,61.4247098043391
62.9974807475531,115.244152800795
32.6690437634672,45.5705888233761
40.1668990087037,54.0840547962236
53.5750775316737,87.9944527581104
33.8642149717782,52.7254943759004
64.7071386661213,93.5761186926582
38.1198240268228,80.166275447371
44.5025380646451,65.1017115705603
40.5995383845523,65.5623012604004
41.7206763563413,65.2808869208228
51.0886346783368,73.4346415463243
55.0780959049232,71.1397278586189
41.3777265348952,79.1028296835499
62.4946974272698,86.5205384403471
49.203887540826,84.7426978078262
41.1026851873497,59.3588502486249
41.1820161051698,61.6840375248336
50.1863894948806,69.8476041582492
52.3784462192362,86.0982912057741
50.1354854862861,59.1088392676996
33.6447060061918,69.8996816436276
39.5579012229068,44.8624907111644
56.1303888168755,85.4980677788402
57.3620521332382,95.5366868464672
60.2692143939979,70.2519344197716
35.6780938894107,52.721734964775
31.5881169981328,50.3926701350799
53.660932261673,63.6423987756578
46.6822286494719,72.2472510686624
43.1078202191025,57.8125129761814
70.3460756150493,104.257101585438
44.4928558808541,86.642020318822
57.5045333032684,91.4867780001101
36.9300766091918,55.2316608862128
55.8057333579427,79.5504366785076
38.9547690733771,44.8471242424676
56.9012147022471,80.2075231396828
56.8689006613841,83.1427497920435
34.3331247042161,55.7234892605439
59.0497412146668,77.6341825116779
57.7882239932307,99.0514148417483
54.2823287059674,79.12064627468
51.0887198989791,69.5888978511185
50.2828363482307,69.5105033114944
44.2117417520901,73.6875643183173
38.0054880080607,61.3669045372401
32.9404799426183,67.1706557689951
53.6916395710701,85.6682031450015
68.7657342696217,114.853871233914
46.2309664983103,90.1235720699674
68.3193608182554,97.9198210352429
50.0301743403121,81.536990783015
49.2397653427538,72.1118324696157
50.039575939876,85.2320073423257
48.1498588910289,66.2249578880546
25.1284846477723,53.4543942148505
